strain_host,latinname,host_category,order,domesticstatus,corrected_host,
redtailedhawk,Buteo jamaicensis,raptor,accipitriformes,wild,redtailedhawk,
redwingedblackbird,Agelaius phoeniceus,passerine,passeriformes,wild,redwingedblackbird,
rhea,Rhea,rhea,rheiformes,unknown,rhea,
ringbilledgull,Larus delawarensis,gull,charadriiformes,wild,ringbilledgull,
ringneckedduck,Aythya collaris,duck,anseriformes,wild,ringneckedduck,
ringneckedpheasant,Phasianus colchicus,pheasant,galliformes,wild,ringneckedpheasant,
ringtailedhawk,Circus hudsonius,raptor,accipitriformes,wild,northernharrier,
rockpigeon,Columba livia,pigeon,columbiformes,wild,rockpigeon,
roseatespoonbill,Platalea ajaja,wader,pelecaniformes,wild,roseatespoonbill,
rosssgoose,Anser rossii,goose,anseriformes,wild,rosssgoose,
rossssgoose,Anser rossii,goose,anseriformes,wild,rosssgoose,
roughleggedhawk,Buteo lagopus ,raptor,accipitriformes,wild,roughleggedhawk,
royaltern,Thalasseus maximus,tern,charadriiformes,wild,royaltern,
rthawk,Buteo jamaicensis,raptor,accipitriformes,wild,redtailedhawk,
ruddyduck,Oxyura jamaicensis,duck,anseriformes,wild,ruddyduck,
ruddyturnstone,Arenaria interpres,wader,charadriiformes,wild,ruddyturnstone,
ruffedgrouse,Bonasa umbellus,groundbird,galliformes,wild,ruffedgrouse,
sabinesgull,Xema sabini,gull,charadriiformes,wild,sabinesgull,
sanderling,Calidris alba,wader,charadriiformes,wild,sanderling,
sandhillcrane,Antigone canadensis,crane,gruiformes,wild,sandhillcrane,
sandwichtern,Thalasseus sandvicensis,tern,charadriiformes,wild,sandwichtern,
savannahsparrow,Passerculus sandwichensis,passerine,passeriformes,wild,savannahsparrow,
saysphoebe,Sayornis saya,passerine,passeriformes,wild,saysphoebe,
scalysidedmerganser,Mergus squamatus,duck,anseriformes,unknown,scalysidedmerganser,
scarletibis,Eudocimus ruber,wader,pelecaniformes,unknown,scarletibis,
scoter,Melanitta,duck,anseriformes,wild,scoter,
sebastopolgoose,Anser anser domesticus ,goose,anseriformes,domestic,sebastopolgoose,
sharpshinnedhawk,Accipiter striatus,raptor,accipitriformes,wild,sharpshinnedhawk,
shortbilledgull,Larus brachyrhynchus,gull,charadriiformes,wild,shortbilledgull,
shortearedowl,Asio flammeus,owl,strigiformes,wild,shortearedowl,
shorttailedshearwaters,Ardenna tenuirostris,seabird,procellariiformes,wild,shorttailedshearwater,
smew,Mergellus albellus,duck,anseriformes,wild,smew,
silkiechicken,Gallus gallus,chicken,galliformes,domestic,silkiechicken,
silverpheasant,Lophura nycthemera,pheasant,galliformes,domestic,silverpheasant,
snowgoose,Anser caerulescens,goose,anseriformes,wild,snowgoose,
snowyegret,Egretta thula,heron,pelecaniformes,wild,snowyegret,
snowyowl,Bubo scandiacus,owl,strigiformes,wild,snowyowl,
snowyplover,Anarhynchus nivosus,wader,charadriiformes,wild,snowyplover,
songsparrow,Melospiza melodia,passerine,passeriformes,wild,songsparrow,
sparrow,Passer ,passerine,passeriformes,wild,sparrow,
summertanager,Piranga rubra,passerine,passeriformes,wild,summertanager,
surfscoter,Melanitta perspicillata,duck,anseriformes,wild,surfscoter,
swainsonshawk,Buteo swainsoni,raptor,accipitriformes,wild,swainsonshawk,
swan,Cygnus,swan,anseriformes,wild,swan,
swangoose,Anser cygnoides,goose,anseriformes,unknown,swangoose,
taiwanesechicken,Gallus gallus,chicken,galliformes,domestic,taiwanesechicken,
teal,,duck,anseriformes,wild,teal,
thayersgull,Larus glaucoides thayeri,gull,charadriiformes,wild,thayersgull,
treeswallow,Tachycineta bicolor,passerine,passeriformes,wild,treeswallow,
trumpeterswan,Cygnus buccinator,swan,anseriformes,wild,trumpeterswan,
tundraswan,Cygnus columbianus,swan,anseriformes,wild,tundraswan,
turkey,Meleagris gallopavo,turkey,galliformes,unknown,turkey,
turkeyvulture,Cathartes aura,raptor,accipitriformes,wild,turkeyvulture,
vulture,,raptor,accipitriformes,wild,vulture,
warbler,,passerine,passeriformes,wild,warbler,
waterfowl,,,anseriformes,unknown,waterfowl,
westerngrebe,Aechmophorus occidentalis,grebe,podicipediformes,wild,westerngrebe,
westerngull,Larus occidentalis,gull,charadriiformes,wild,westerngull,
westernkingbird,Tyrannus verticalis,passerine,passeriformes,wild,westernkingbird,
westernsandpiper,Calidris mauri,wader,charadriiformes,wild,westernsandpiper,
westernscreechowl,Megascops kennicottii,owl,strigiformes,wild,westernscreechowl,
westernsnowyplover,Anarhynchus nivosus,wader,charadriiformes,wild,snowyplover,subspecies
whimbrel,Numenius hudsonicus,,charadriiformes,wild,hudsonianwhimbrel,
whistlingswan,Cygnus columbianus,swan,anseriformes,wild,tundraswan,
whitecrownedsparrow,Zonotrichia leucophrys,passerine,passeriformes,wild,whitecrownedsparrow,
whitefacedibis,Plegadis chihi,wader,pelecaniformes,wild,whitefacedibis,
whitewingeddove,Zenaida asiatica,dove,columbiformes,wild,whitewingeddove,
whitewingedscoter,Melanitta deglandi,duck,anseriformes,wild,whitewingedscoter,
wildbird,,unknown,unknown,wild,wildbird,
wildduck,,duck,anseriformes,wild,wildduck,
wildgoose,,goose,anseriformes,wild,wildgoose,
wildhybridduck,,duck,anseriformes,wild,wildduck,
wildturkey,Meleagris gallopavo,turkey,galliformes,wild,wildturkey,
willet,Tringa semipalmata,wader,charadriiformes,wild,willet,
woodduck,Chenonetta jubata or Aix sponsa,duck,anseriformes,wild,woodduck,
